Disease,Diet
Fungal infection,"['Mushrooms', 'Garlic', 'Coconut oil', 'Probiotics (like yogurt with live cultures)', 'Turmeric']"
Allergy,"['Salmon', 'Chia seeds (Omega-3-rich foods)', 'Bell peppers (Vitamin C-rich)', 'Apples (Quercetin-rich)', 'Sauerkraut (Probiotics)']"
GERD,"['Oatmeal (Low-Acid)', 'Carrots', 'Broccoli (Fiber-rich foods)', 'Ginger', 'Aloe vera juice']"
Chronic cholestasis,"['Avocados (Low-Fat)', 'Lentils (High-Fiber)', 'Chicken breast (Lean proteins)', 'Brown rice (Whole grains)', 'Berries (Fresh fruits and vegetables)']"
Drug Reaction,"['Walnuts (Omega-3-rich)', 'Oranges (Vitamin C-rich)', 'Apples (Quercetin-rich)', 'Kefir (Probiotics)']"
Peptic ulcer disease,"['Banana (Low-Acid)', 'Oats (Fiber-rich)', 'Ginger', 'Licorice root tea', 'Aloe vera juice']"
AIDS,"['Salmon (Protein-rich)', 'Spinach (Fruits and vegetables)', 'Quinoa (Whole grains)', 'Olive oil (Healthy fats)']"
Diabetes,"['Sweet potatoes (Low-Glycemic)', 'Chia seeds (Fiber-rich)', 'Chicken breast (Lean proteins)', 'Avocados (Healthy fats)', 'Low-fat Greek yogurt (Low-fat dairy)']"
Gastroenteritis,"['White rice', 'Applesauce', 'Toast (Bland Diet)', 'Bananas', 'Ginger tea (Hydration)']"
Bronchial Asthma,"['Fatty fish like mackerel (Anti-inflammatory, Omega-3-rich)', 'Kale (Fruits and vegetables)', 'Whole wheat bread (Whole grains)', 'Chicken breast (Lean proteins)']"
Hypertension,"['Low-fat dairy (DASH Diet)', 'Leafy greens (Low-sodium)', 'Beets', 'Oranges (Fruits and vegetables)', 'Brown rice (Whole grains)']"
Migraine,"['Leafy greens (Magnesium-rich)', 'Bananas', 'Hydration', 'Almonds (Low-Tyramine)', 'Herbal teas like peppermint']"
Cervical spondylosis,"['Flaxseeds (Omega-3-rich)', 'Blueberries (Anti-inflammatory)', 'Avocados (Healthy fats)', 'Kale (Fruits and vegetables)', 'Brown rice (Whole grains)']"
Paralysis (brain hemorrhage),"['Salmon (Heart-healthy, Omega-3-rich)', 'Leafy greens (Low-sodium)', 'Carrots (Fruits and vegetables)', 'Quinoa (Whole grains)', 'Skinless chicken (Lean proteins)']"
Jaundice,"['Apples (Liver-Healthy)', 'Oats (Low-fat)', 'Cucumbers (Fruits and vegetables)', 'Whole wheat bread (Whole grains)', 'Skinless poultry (Lean proteins)']"
Malaria,"['Bananas', 'Watermelon', 'Rice', 'Oral rehydration solution (Hydration)', 'High-calorie shakes']"
Chicken pox,"['Soft boiled eggs', 'Avocado (High-Calorie)', 'Rice pudding', 'Hydration (Oral rehydration)', 'Greek yogurt (Protein-rich foods)']"
Dengue,"['Coconut water (Hydration)', 'Protein shakes', 'Soft rice porridge', 'Soups (High-Calorie)', 'Steamed vegetables (Soft foods)']"
Typhoid,"['Mashed potatoes (High-Calorie)', 'Rice', 'Steamed chicken (Soft and bland)', 'Hydration', 'Yogurt (Protein-rich foods)']"
Hepatitis A,"['Bananas (High-Calorie)', 'Rice', 'Chicken soup', 'Hydration (Water, herbal teas)', 'Eggs (Protein-rich)']"
Hepatitis B,"['Salmon (High-Calorie, Protein-rich)', 'Oatmeal (Soft and bland)', 'Avocado', 'Green tea (Hydration)', 'Lean turkey (Protein-rich)']"
Hepatitis C,"['Steamed chicken (High-Calorie)', 'Steamed vegetables', 'Brown rice (Soft)', 'Pineapple (Hydration)', 'Tofu (Protein-rich foods)']"
Hepatitis D,"['Steamed chicken', 'Oatmeal', 'Avocados (High-Calorie)', 'Coconut water (Hydration)', 'Greek yogurt (Protein-rich foods)']"
Hepatitis E,"['White rice', 'Soft boiled eggs', 'Chicken soup', 'Coconut water (Hydration)', 'Tofu (High-Calorie, Protein-rich foods)']"
Alcoholic hepatitis,"['Green leafy vegetables (Liver-healthy)', 'Salmon', 'Oats (Low-fat)', 'Avocados (Fruits and vegetables)', 'Skinless poultry (Lean proteins)']"
Tuberculosis,"['Beef (High-Calorie, Protein-rich)', 'Whole wheat bread', 'Avocados (High-Calorie)', 'Chicken', 'Bananas (Hydration)']"
Common Cold,"['Honey and lemon tea (Warm fluids)', 'Ginger', 'Hot soup (Hydration)', 'Oranges (Vitamin C-rich)', 'Carrots (Fruits and vegetables)']"
Pneumonia,"['Chicken breast (High-Calorie)', 'Soft rice', 'Steamed carrots (Bland and soft)', 'Hydration (Water, clear fluids)', 'Avocados (Protein-rich foods)']"
